['ETHBTC', 'ETH', 'BTC', 0.00000100, 922327.00000000, 0.00100000, 100000.00000000] 
['LTCBTC', 'LTC', 'BTC', 0.00000100, 100000.00000000, 0.01000000, 100000.00000000] 
['BNBBTC', 'BNB', 'BTC', 0.00000100, 100000.00000000, 0.01000000, 100000.00000000] 
['NEOBTC', 'NEO', 'BTC', 0.00000100, 100000.00000000, 0.01000000, 100000.00000000] 
['QTUMETH', 'QTUM', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['EOSETH', 'EOS', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 92141578.00000000] 
['SNTETH', 'SNT', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['BNTETH', 'BNT', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 92141578.00000000] 
['BCCBTC', 'BCC', 'BTC', 0.00000100, 1000.00000000, 0.00100000, 92141578.00000000] 
['GASBTC', 'GAS', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['BNBETH', 'BNB', 'ETH', 0.00001000, 1000.00000000, 0.00100000, 9000000.00000000] 
['BTCUSDT', 'BTC', 'USDT', 0.01000000, 1000000.00000000, 0.00000100, 9000.00000000] 
['ETHUSDT', 'ETH', 'USDT', 0.01000000, 1000000.00000000, 0.00001000, 9000.00000000] 
['HSRBTC', 'HSR', 'BTC', 0.00000100, 1000.00000000, 0.01000000, 92141578.00000000] 
['OAXETH', 'OAX', 'ETH', 0.00000010, 1000.00000000, 1.00000000, 90000000.00000000] 
['DNTETH', 'DNT', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['MCOETH', 'MCO', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['ICNETH', 'ICN', 'ETH', 0.00000010, 1000.00000000, 1.00000000, 90000000.00000000] 
['MCOBTC', 'MCO', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['WTCBTC', 'WTC', 'BTC', 0.00000001, 1000.00000000, 0.01000000, 9000000.00000000] 
['WTCETH', 'WTC', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['LRCBTC', 'LRC', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['LRCETH', 'LRC', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['QTUMBTC', 'QTUM', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['YOYOBTC', 'YOYO', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['OMGBTC', 'OMG', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['OMGETH', 'OMG', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['ZRXBTC', 'ZRX', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['ZRXETH', 'ZRX', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['STRATBTC', 'STRAT', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['STRATETH', 'STRAT', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['SNGLSBTC', 'SNGLS', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['SNGLSETH', 'SNGLS', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['BQXBTC', 'BQX', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['BQXETH', 'BQX', 'ETH', 0.00000010, 1000.00000000, 1.00000000, 90000000.00000000] 
['KNCBTC', 'KNC', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['KNCETH', 'KNC', 'ETH', 0.00000010, 1000.00000000, 1.00000000, 90000000.00000000] 
['FUNBTC', 'FUN', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['FUNETH', 'FUN', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['SNMBTC', 'SNM', 'BTC', 0.00000001, 1000.00000000, 0.10000000, 90000000.00000000] 
['SNMETH', 'SNM', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['NEOETH', 'NEO', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['IOTABTC', 'IOTA', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['IOTAETH', 'IOTA', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['LINKBTC', 'LINK', 'BTC', 0.00000001, 1000.00000000, 0.10000000, 90000000.00000000] 
['LINKETH', 'LINK', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 92141578.00000000] 
['XVGBTC', 'XVG', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['XVGETH', 'XVG', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['SALTBTC', 'SALT', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['SALTETH', 'SALT', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 90000000.00000000] 
['MDABTC', 'MDA', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['MDAETH', 'MDA', 'ETH', 0.00000010, 1000.00000000, 1.00000000, 90000000.00000000] 
['MTLBTC', 'MTL', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['MTLETH', 'MTL', 'ETH', 0.00000100, 1000.00000000, 0.01000000, 92141578.00000000] 
['SUBBTC', 'SUB', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['SUBETH', 'SUB', 'ETH', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
['EOSBTC', 'EOS', 'BTC', 0.00000010, 1000.00000000, 0.01000000, 90000000.00000000] 
['SNTBTC', 'SNT', 'BTC', 0.00000001, 1000.00000000, 1.00000000, 90000000.00000000] 
